2024-04-21T03:20:22.859+1000 INFO tgc.plus.callservice.MailServiceApplication Starting MailServiceApplication using Java 17.0.8 with PID 25511 (/home/makar/IdeaProjects/TigerHost/TigerHostApi/MailService/build/classes/java/main started by makar in /home/makar/IdeaProjects/TigerHost/TigerHostApi)
2024-04-21T03:20:22.860+1000 DEBUG tgc.plus.callservice.MailServiceApplication Running with Spring Boot v3.2.1, Spring v6.1.2
2024-04-21T03:20:22.861+1000 INFO tgc.plus.callservice.MailServiceApplication No active profile set, falling back to 1 default profile: "default"
2024-04-21T03:20:24.336+1000 INFO tgc.plus.callservice.MailServiceApplication Started MailServiceApplication in 1.787 seconds (process running for 2.287)
2024-04-21T03:31:10.340+1000 ERROR tgc.plus.callservice.listeners.utils.CommandsDispatcher Error with message: User with code - 1a72d2ca-7b7d-4798-a2c7-fbe2f5502a84 already exist, cause: null
2024-04-21T04:21:56.657+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T04:23:07.200+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T04:31:05.843+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T04:32:39.528+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T05:58:10.320+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T05:58:10.329+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T05:58:10.336+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T05:59:31.875+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T05:59:31.886+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditPhone Phone for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
2024-04-21T05:59:31.894+1000 INFO tgc.plus.callservice.listeners.utils.commands.EditEmail Email for user with code - 08b2d919-7442-49b4-b1db-e5b73afd200c was updated
